category,electricity generation,residential,commercial,industrial,transportation,year
solar,0.61,0.22,0.1,0.03,,2018
nuclear,8.44,,,,,2018
hydro,2.67,,,0.01,,2018
wind,2.53,,,,,2018
geothermal,0.15,0.04,0.02,,,2018
natural gas,11,5.15,3.61,10.4,0.87,2018
coal,12.1,,0.02,1.2,,2018
biomass,0.5,0.52,0.15,2.55,1.41,2018
petroleum,0.24,0.96,0.85,8.86,26,2018
electicity generation,,5,4.7,3.25,0.03,2018
rejected energy,25.3,4.16,3.31,13.4,22.4,2018
energy services,,7.72,6.14,12.9,5.95,2018
